78730;Lauterbach
;
55595;Sommerloch
88356;Ostrach
73271;Holzmaden
55595;Hargesheim
75328;Schömberg
77716;Haslach
NN;Gutsbezirk Spessart
56412;Niedererbach
67280;Ebertsheim
66709;Weiskirchen
73663;Berglen
59581;Warstein
56357;Buch
56825;Gevenich
74545;Hinterziegelhalden
34439;Willebadessen
54317;Korlingen
74336;Brackenheim
34329;Nieste
35083;Wetter (Hessen)
78655;Dunningen
54534;Musweiler
67808;Schweisweiler
35708;Haiger
73453;Wahlenhalden
32289;Rödinghausen
64395;Brensbach
52074;Aachen
54636;Idesheim
66440;Blieskastel
35099;Burgwald
56291;Lingerhahn
45130;Essen
67753;Reipoltskirchen
77731;Willstätt
74924;Neckarbischofsheim
66265;Heusweiler
55629;Schwarzerden
67305;Ramsen
76131;Karlsruhe
54619;Heckhuscheid
74394;Hessigheim
52441;Linnich
54668;Peffingen
97256;Geroldshausen
54426;Naurath (Wald)
53113;Bonn
54570;Densborn
67105;Schifferstadt
78357;Mühlingen
78549;Spaichingen
68161;Mannheim
55743;Fischbach
46537;Dinslaken
73066;Uhingen
55246;Mainz-Kostheim
54340;Thörnich
65451;Kelsterbach
52511;Geilenkirchen
67281;Bissersheim
54608;Oberlascheid
36358;Herbstein
32312;Lübbecke
74074;Heilbronn
56321;Brey
64653;Lorsch, Karolingerstadt
70771;Leinfelden-Echterdingen
76831;Eschbach
55595;Winterbach
66453;Gersheim
57635;Hasselbach
54668;Ferschweiler
65623;Hahnstätten
73450;Neresheim
76829;Landau
54316;Hinzenburg
55592;Raumbach
75385;Lautenbachhof
57635;Hirz-Maulsbach
66459;Kirkel
79288;Gottenheim
65189;Wiesbaden
79725;Laufenburg
35585;Wetzlar
66869;Schellweiler
57539;Bruchertseifen
63743;Aschaffenburg
55546;Tiefenthal
71296;Heimsheim
54675;Fischbach-Oberraden
55483;Schlierschied
57518;Steineroth
50937;Köln
67158;Ellerstadt
72356;Dautmergen
74864;Fahrenbach
55234;Esselborn
57537;Hövels
53359;Rheinbach
56357;Himmighofen
67122;Altrip
54655;Kyllburgweiler
71299;Wimsheim
54314;Zerf
36355;Grebenhain
33415;Verl
74257;Untereisesheim
57610;Michelbach
78267;Aach
34121;Kassel
53572;Unkel
55774;Baumholder
44369;Dortmund
54340;Longuich
40213;Düsseldorf
54673;Waldhof-Falkenstein
56414;Steinefrenz
88633;Heiligenberg
57583;Nauroth
53520;Dümpelfeld
66119;Saarbrücken
53175;Bonn
54427;Kell am See
57629;Stein-Wingert
66625;Nohfelden
78467;Konstanz
78199;Bräunlingen
54317;Gutweiler
41065;Mönchengladbach
55595;Traisen
52477;Alsdorf
55483;Unzenberg
55776;Berglangenbach
54453;Nittel
73574;Mühlhölzle
64739;Höchst i. Odw.
66871;Oberalben
NN;Gutsbezirk Kaufunger Wald
36142;Tann (Rhön)
52396;Heimbach
73084;Salach
79106;Freiburg
78187;Geisingen
59969;Bromskirchen
13349;Berlin
66989;Höheischweiler
56379;Geilnau
76872;Minfeld
53520;Kaltenborn
60325;Frankfurt am Main
35796;Weinbach
41238;Mönchengladbach
56288;Alterkülz
50999;Köln
75385;Dachshof
88422;Tiefenbach
75180;Pforzheim
40699;Erkrath
34308;Bad Emstal
60316;Frankfurt am Main
34474;Diemelstadt
56858;Peterswald-Löffelsch.
55776;Reichenbach
89073;Ulm
42277;Wuppertal
65197;Wiesbaden
55234;Dintesheim
73540;Heubach
74865;Neckarzimmern
71409;Schwaikheim
65345;Eltville am Rhein
56355;Oberbachheim
54472;Veldenz
